startDate,timeStep,size,sizeNext,sizeChange,surv
10/3/05,0,31.22,52.12,20.9,1
10/3/05,0,24.86,48.42,23.56,1
10/3/05,0,38.94,67.19,28.25,1
10/3/05,0,32.81,54.52,21.71,1
10/3/05,0,41.54,60.88,19.34,1
10/3/05,0,24.78,52.44,27.66,1
10/3/05,0,32.46,51.59,19.13,1
10/3/05,0,32.41,50.2,17.79,1
10/3/05,0,34.84,63.85,29.01,1
10/3/05,0,33.09,55.01,21.92,1
10/3/05,0,31.8,50.28,18.48,1
10/3/05,0,36.47,58.99,22.52,1
10/3/05,0,21.23,49.03,27.8,1
10/3/05,0,32.05,53.35,21.3,1
10/3/05,0,30.81,60.46,29.65,1
10/3/05,0,40.12,62.48,22.36,1
10/3/05,0,40.76,61.16,20.4,1
10/3/05,0,25.79,46.48,20.69,1
10/3/05,0,27.74,51.73,23.99,1
10/3/05,0,33.25,52.63,19.38,1
10/3/05,0,27.01,62.05,35.04,1
10/3/05,0,27.78,45.05,17.27,1
10/3/05,0,36.7,56.74,20.04,1
10/3/05,0,26.55,55.21,28.66,1
10/3/05,0,23.69,46.34,22.65,1
10/3/05,0,33.58,63.35,29.77,1
10/3/05,0,42.15,72.06,29.91,1
10/3/05,0,31.86,50.63,18.77,1
10/3/05,0,29.83,54.18,24.35,1
10/3/05,0,35.9,61.42,25.52,1
10/3/05,0,21.52,39.19,17.67,1
10/3/05,0,29.83,47.5,17.67,1
10/3/05,0,34.9,68.25,33.35,1
10/3/05,0,23.95,47.68,23.73,1
10/3/05,0,36.89,70.77,33.88,1
10/3/05,0,39.05,68.66,29.61,1
10/3/05,0,33.9,63.66,29.76,1
10/3/05,0,19.78,27.9,8.12,1
10/3/05,0,26.62,53.72,27.1,1
10/3/05,0,25.14,54.53,29.39,1
10/3/05,0,26,46.53,20.53,1
10/3/05,0,37.45,83.72,46.27,1
10/3/05,0,21.16,54.54,33.38,1
10/3/05,0,32.71,60.9,28.19,1
10/3/05,0,29.49,58.21,28.72,1
10/3/05,0,21.18,37.61,16.43,1
10/3/05,0,29.95,52.29,22.34,1
10/3/05,0,25.74,43.7,17.96,1
10/3/05,0,25.98,58.31,32.33,1
10/3/05,0,29.37,50.07,20.7,1
10/3/05,0,36.24,57.57,21.33,1
10/3/05,0,38.07,61.86,23.79,1
10/3/05,0,41.85,NA,NA,0
10/3/05,0,19.92,41.8,21.88,1
10/3/05,0,32.26,58.91,26.65,1
10/3/05,0,29.36,51.12,21.76,1
10/3/05,0,55.97,77.26,21.29,1
10/3/05,0,35.26,NA,NA,0
10/3/05,0,29.76,53.88,24.12,1
10/3/05,0,26.11,47.49,21.38,1
10/3/05,0,30.22,58.91,28.69,1
10/3/05,0,26.58,53.28,26.7,1
10/3/05,0,20.92,47.5,26.58,1
10/3/05,0,33.71,62.5,28.79,1
10/3/05,0,24.97,43.82,18.85,1
10/3/05,0,26.11,52.77,26.66,1
10/3/05,0,35.49,41.92,6.43,1
10/3/05,0,27.77,53.76,25.99,1
10/3/05,0,27.86,42.11,14.25,1
10/3/05,0,20.19,44.15,23.96,1
10/3/05,0,10.16,41.06,30.9,1
10/3/05,0,30.31,57.86,27.55,1
10/3/05,0,35.24,58.73,23.49,1
10/3/05,0,36.42,65.05,28.63,1
10/3/05,0,33.96,63.07,29.11,1
10/3/05,0,30.47,47.9,17.43,1
10/3/05,0,34.53,68.36,33.83,1
10/3/05,0,37.55,68.35,30.8,1
10/3/05,0,37.43,75.89,38.46,1
10/3/05,0,26.54,NA,NA,0
10/3/05,0,34.93,69.72,34.79,1
10/3/05,0,33.39,56.77,23.38,1
10/3/05,0,27.8,46.47,18.67,1
10/3/05,0,29.84,70.4,40.56,1
10/3/05,0,27.3,59.89,32.59,1
10/3/05,0,20.11,38.01,17.9,1
