rhoVal,alphaVal,deltaVal,Leqs,Neqs,Heqs,initH,oystersAdded,popDist,tolCond,num.calcs
low,estimate,mid,39763.97913,11060285.35,56796.91352,79000,10432328.7,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,80000,10406615.54,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,81000,10381068.5,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,82000,10355705.9,distEq,0.14,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,83000,10330565.1,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,84000,10305608.75,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,85000,10280836.41,distEq,0.58,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,86000,10256286.72,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,87000,10231884.13,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,88000,10207666.13,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,89000,10183632.72,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,90000,10159745.82,distEq,1.15,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,91000,10136082.74,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,92000,10112566.17,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,93000,10089234.2,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,94000,10066049.89,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,95000,10043050.17,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,96000,10020197.84,distEq,0.29,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,97000,9997530.666,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,98000,9975008.571,distEq,2.31,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,99000,9952675.679,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,1.00E+05,9930488.15,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,101000,9908485.21,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,102000,9886537.646,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,103000,9864811.588,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,104000,9843214.742,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,105000,9821802.485,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,106000,9800537.898,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,107000,9779345.993,distEq,1.15,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,108000,9758359.443,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,109000,9737519.409,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,110000,9716808.588,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,111000,9696203.905,distEq,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,112000,9675793.04,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,113000,9655525.23,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,114000,9635294.339,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,115000,9615266.495,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,116000,9595423.239,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,117000,9575635.36,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,118000,9555995.151,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,119000,9536502.613,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,120000,9517046.993,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,121000,9497812.879,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,122000,9478652.601,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,123000,9459621.534,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,124000,9440728.908,distEq,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,125000,9421947.036,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,126000,9403303.605,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,127000,9384752.468,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,128000,9366385.92,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,129000,9348074.748,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,130000,9329818.953,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,131000,9311747.746,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,132000,9293768.833,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,133000,9275919.132,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,134000,9258180.184,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,135000,9240570.448,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,136000,9222997.63,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,137000,9205572.483,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,138000,9188216.556,distEq,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,139000,9171017.529,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,140000,9153887.724,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,20000,22854483.72,distHarvest,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,21000,22774483.1,distHarvest,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,22000,22695590.01,distHarvest,73.84,150
