startDate,timeStep,species,location,size,sizeNext,sizeChange,log.sizeChange,surv
2006-10-13,0,CV,WB,15,61.6,46.6,3.8416005411316,1
2006-10-13,0,CV,WB,11.7,65.1,53.4,3.97781074596615,1
2006-10-13,0,CV,WB,12.3,NA,NA,NA,0
2006-10-13,0,CV,WB,15.3,44.4,29.1,3.37073817417745,1
2006-10-13,0,CV,WB,14.9,NA,NA,NA,0
2006-10-13,0,CV,WB,18.5,NA,NA,NA,0
2006-10-13,0,CV,WB,13.1,NA,NA,NA,0
2006-10-13,0,CV,WB,17.8,NA,NA,NA,0
2006-10-13,0,CV,WB,20.6,NA,NA,NA,0
2006-10-13,0,CV,WB,21.2,NA,NA,NA,0
2006-10-13,0,CV,WB,16.7,NA,NA,NA,0
2006-10-13,0,CV,WB,17.1,NA,NA,NA,0
2006-10-13,0,CV,WB,7.7,68.9,61.2,4.11414718951828,1
2006-10-13,0,CV,WB,6.4,57.5,51.1,3.93378449720966,1
2006-10-13,0,CV,WB,24.8,47.3,22.5,3.11351530921037,1
2006-10-13,0,CV,WB,10,61.9,51.9,3.94931879017184,1
2006-10-13,0,CV,WB,10,NA,NA,NA,0
2006-10-13,0,CV,WB,16.5,NA,NA,NA,0
2006-10-13,0,CV,WB,16.7,NA,NA,NA,0
2006-10-13,0,CV,WB,13.9,63,49.1,3.89385903480047,1
2006-10-13,0,CV,WB,14.1,NA,NA,NA,0
2006-10-13,0,CV,WB,11.5,NA,NA,NA,0
2006-10-13,0,CV,WB,14.6,NA,NA,NA,0
2006-10-13,0,CV,WB,16.6,NA,NA,NA,0
2006-10-13,0,CV,WB,14.4,NA,NA,NA,0
2006-10-13,0,CV,WB,13.1,NA,NA,NA,0
2006-10-13,0,CV,WB,10.8,NA,NA,NA,0
2006-10-13,0,CV,WB,10,NA,NA,NA,0
2006-10-13,0,CV,WB,15.7,NA,NA,NA,0
2006-10-13,0,CV,WB,5.4,68,62.6,4.13676527810605,1
2006-10-13,0,CV,WB,13.6,NA,NA,NA,0
2006-10-13,0,CV,WB,12.1,NA,NA,NA,0
2006-10-13,0,CV,WB,10.9,69.6,58.7,4.07243972683405,1
2006-10-13,0,CV,WB,14.9,55.1,40.2,3.69386699562498,1
2006-10-13,0,CV,WB,16.7,57.1,40.4,3.6988297849671,1
2006-10-13,0,CV,WB,11.4,NA,NA,NA,0
2006-10-13,0,CV,WB,14.7,NA,NA,NA,0
2006-10-13,0,CV,WB,11,NA,NA,NA,0
2006-10-13,0,CV,WB,17.4,66.3,48.9,3.88977739648083,1
2006-10-13,0,CV,WB,31.1,71.5,40.4,3.6988297849671,1
2006-10-13,0,CV,WB,28.3,71.8,43.5,3.77276093809464,1
2006-10-13,0,CV,WB,27.2,69.5,42.3,3.74478708605223,1
2006-10-13,0,CV,WB,10.5,NA,NA,NA,0
2006-10-13,0,CV,WB,12.5,55.9,43.4,3.77045944110636,1
2006-10-13,0,CV,WB,31.3,65.2,33.9,3.5234150143864,1
2006-10-13,0,CV,WB,10.9,NA,NA,NA,0
2006-10-13,0,CV,WB,13.2,NA,NA,NA,0
2006-10-13,0,CV,WB,26.8,59.4,32.6,3.48431228837266,1
2006-10-13,0,CV,WB,17.7,65.2,47.5,3.8607297110406,1
2006-10-13,0,CV,WB,8.4,NA,NA,NA,0
2006-10-13,0,CV,WB,7.6,65.7,58.1,4.06216566385787,1
