"startDate","timeStep","species","location","size","sizeNext","sizeChange","log.sizeChange","surv"
2006-10-16,0,"CV","BP",34.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",43,NA,NA,NA,0
2006-10-16,0,"CV","BP",47.9,77.30360934,29.40360934,3.38111743347609,1
2006-10-16,0,"CV","BP",48.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",49.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",47.2,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",10,NA,NA,NA,0
2006-10-16,0,"CV","BP",8.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",10.1,53.1,43,3.76120011569356,1
2006-10-16,0,"CV","BP",8,66.9,58.9,4.07584109065754,1
2006-10-16,0,"CV","BP",6.6,NA,NA,NA,0
2006-10-16,0,"CV","BP",6.3,NA,NA,NA,0
2006-10-16,0,"CV","BP",10.8,NA,NA,NA,0
2006-10-16,0,"CV","BP",12,NA,NA,NA,0
2006-10-16,0,"CV","BP",7.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.8,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.8,56.8,42,3.73766961828337,1
2006-10-16,0,"CV","BP",11.5,64.1,52.6,3.96271611974366,1
2006-10-16,0,"CV","BP",10.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",22.2,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",8.3,73.8,65.5,4.18205014264121,1
2006-10-16,0,"CV","BP",9.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",13.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",15.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",18.4,55.34674752,36.94674752,3.60947761970392,1
2006-10-16,0,"CV","BP",8.3,54.7,46.4,3.83729945923221,1
2006-10-16,0,"CV","BP",10.8,59.9,49.1,3.89385903480047,1
2006-10-16,0,"CV","BP",10.8,54.3,43.5,3.77276093809464,1
2006-10-16,0,"CV","BP",13.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.1,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.7,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.6,NA,NA,NA,0
2006-10-16,0,"CV","BP",11,NA,NA,NA,0
2006-10-16,0,"CV","BP",14.2,NA,NA,NA,0
2006-10-16,0,"CV","BP",10.6,40,29.4,3.38099467434464,1
2006-10-16,0,"CV","BP",12.2,NA,NA,NA,0
2006-10-16,0,"CV","BP",12.6,NA,NA,NA,0
2006-10-16,0,"CV","BP",11.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.4,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.5,NA,NA,NA,0
2006-10-16,0,"CV","BP",9.9,NA,NA,NA,0
2006-10-16,0,"CV","BP",16.6,NA,NA,NA,0
2006-10-16,0,"CV","BP",15.4,NA,NA,NA,0
